net,length_um
net3245,1.3508mm
clknet_2_1_0_i_clk,1.250885mm
clknet_2_0_0_i_clk,1.219315mm
clknet_2_2_0_i_clk,1.09848mm
clknet_2_3_0_i_clk,1.081985mm
clknet_0_i_clk,1.00396mm
_13514_,999.91µm
net3213,921.565µm
i_clk,870.69µm
net3596,772.505µm
net3029,739.275µm
_15304_,691.585µm
rx_valid,689.48µm
net3733,669.67µm
net3687,636.195µm
net3074,619.68µm
net3636,604.615µm
net3072,543.215µm
net3731,481.995µm
net3561,460.61µm
net3048,457.985µm
net2816,418.685µm
net3208,409.22µm
net3229,408.4µm
u_fft_core.u_twiddle_interface.val_2q,403.59µm
net2840,402.99µm
debug_mid_data_re\[3\],392.95µm
u_fft_core.mdc_ff0_data1_im\[2\],387.75µm
debug_mid_data_re\[2\],385.38µm
net2938,384.16µm
net2937,382.02µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_r\[0\]\[0\],381.67µm
_17186_,365.04µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.r_bt0_i\[0\]\[0\],363.17µm
net3161,362.015µm
net3196,356.655µm
net3410,352.59µm
debug_mid_data_re\[6\],352.52µm
net3982,351.24µm
_15314_,349.855µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data0_r\[8\],345.07µm
debug_mid_data_re\[5\],343.53µm
net3823,342.58µm
debug_mid_data_re\[0\],340.38µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[8\],339.875µm
net2989,336.22µm
clknet_7_32__leaf_i_clk,335.93µm
u_fft_core.mdc_ff2_data1_re\[6\],333.93µm
net3760,331.44µm
net3366,330.78µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[8\],329.505µm
net3049,325.82µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[18\],324.9µm
debug_mid_data_re\[4\],321.62µm
net3384,320.32µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data0_r\[7\],318.13µm
debug_mid_data_re\[1\],315.22µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[17\],310.8µm
net3790,309.99µm
net3569,306.755µm
net3950,306.485µm
u_fft_core.mdc_ff0_data0_im\[2\],302.72µm
net3914,300.45µm
u_fft_core.mdc_ff2_data1_re\[7\],300.255µm
net3923,296.85µm
debug_mid_data_re\[7\],295.615µm
net3560,292.815µm
net3304,290.765µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_r\[3\],289.975µm
net4034,289.89µm
