Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_219_1745,VSS,Metal1,858.7080,853.9030,0.001546
FILLER_219_1738,VSS,Metal1,856.0860,853.8190,0.001546
FILLER_219_1731,VSS,Metal1,852.7260,853.8190,0.001546
FILLER_219_1724,VSS,Metal1,849.3660,853.8190,0.001546
FILLER_219_1717,VSS,Metal1,846.0060,853.8190,0.001546
FILLER_219_1710,VSS,Metal1,842.6460,853.8190,0.001546
FILLER_219_1703,VSS,Metal1,839.2860,853.8190,0.001546
FILLER_219_1696,VSS,Metal1,835.9260,853.8190,0.001546
FILLER_219_1689,VSS,Metal1,832.5660,853.8190,0.001546
FILLER_219_1682,VSS,Metal1,829.2060,853.8190,0.001546
FILLER_219_1675,VSS,Metal1,825.8460,853.8190,0.001546
FILLER_219_1668,VSS,Metal1,822.4860,853.8190,0.001546
FILLER_219_1661,VSS,Metal1,819.1260,853.8190,0.001546
FILLER_219_1654,VSS,Metal1,815.7660,853.8190,0.001546
FILLER_219_1647,VSS,Metal1,812.4060,853.8190,0.001546
FILLER_219_1640,VSS,Metal1,809.0460,853.8190,0.001546
FILLER_219_1633,VSS,Metal1,805.6860,853.8190,0.001546
FILLER_219_1626,VSS,Metal1,802.3260,853.8190,0.001546
FILLER_219_1619,VSS,Metal1,798.9660,853.8190,0.001546
FILLER_219_1612,VSS,Metal1,795.6060,853.8190,0.001546
FILLER_219_1605,VSS,Metal1,792.2460,853.8190,0.001548
FILLER_219_1598,VSS,Metal1,788.8860,853.8190,0.001550
FILLER_219_1591,VSS,Metal1,785.5260,853.8190,0.001552
FILLER_219_1584,VSS,Metal1,782.1660,853.8190,0.001553
FILLER_219_1577,VSS,Metal1,778.8060,853.8190,0.001555
FILLER_219_1570,VSS,Metal1,775.4460,853.8190,0.001557
FILLER_219_1563,VSS,Metal1,772.0860,853.8190,0.001559
FILLER_219_1556,VSS,Metal1,768.7260,853.8190,0.001560
FILLER_219_1549,VSS,Metal1,765.3660,853.8190,0.001562
FILLER_219_1542,VSS,Metal1,762.0060,853.8190,0.001564
FILLER_219_1535,VSS,Metal1,758.6460,853.8190,0.001565
FILLER_219_1528,VSS,Metal1,755.2860,853.8190,0.001567
FILLER_219_1521,VSS,Metal1,751.9260,853.8190,0.001569
FILLER_219_1514,VSS,Metal1,748.5660,853.8190,0.001571
FILLER_219_1507,VSS,Metal1,745.2060,853.8190,0.001572
FILLER_219_1500,VSS,Metal1,741.8460,853.8190,0.001574
FILLER_219_1493,VSS,Metal1,738.4860,853.8190,0.001576
FILLER_219_1486,VSS,Metal1,735.1260,853.8190,0.001577
FILLER_219_1479,VSS,Metal1,731.7660,853.8190,0.001579
FILLER_219_1472,VSS,Metal1,728.4060,853.8190,0.001581
FILLER_219_1465,VSS,Metal1,725.0460,853.8190,0.001583
FILLER_219_1458,VSS,Metal1,721.6860,853.8190,0.001584
FILLER_219_1451,VSS,Metal1,718.3260,853.8190,0.001587
FILLER_219_1444,VSS,Metal1,714.9660,853.8190,0.001589
FILLER_219_1437,VSS,Metal1,711.6060,853.8190,0.001591
FILLER_219_1430,VSS,Metal1,708.2460,853.8190,0.001594
FILLER_219_1423,VSS,Metal1,704.8860,853.8190,0.001596
FILLER_219_1416,VSS,Metal1,701.5260,853.8190,0.001598
FILLER_219_1409,VSS,Metal1,698.1660,853.8190,0.001600
FILLER_219_1402,VSS,Metal1,694.8060,853.8190,0.001603
FILLER_219_1395,VSS,Metal1,691.4460,853.8190,0.001605
FILLER_219_1388,VSS,Metal1,688.0860,853.8190,0.001607
FILLER_219_1381,VSS,Metal1,684.7260,853.8190,0.001610
FILLER_219_1374,VSS,Metal1,681.3660,853.8190,0.001612
FILLER_219_1367,VSS,Metal1,678.0060,853.8190,0.001614
FILLER_219_1360,VSS,Metal1,674.6460,853.8190,0.001616
FILLER_219_1353,VSS,Metal1,671.2860,853.8190,0.001619
FILLER_219_1346,VSS,Metal1,667.9260,853.8190,0.001621
FILLER_219_1339,VSS,Metal1,664.5660,853.8190,0.001623
FILLER_219_1332,VSS,Metal1,661.2060,853.8190,0.001626
FILLER_219_1325,VSS,Metal1,657.8460,853.8190,0.001628
FILLER_219_1318,VSS,Metal1,654.4860,853.8190,0.001630
FILLER_219_1311,VSS,Metal1,651.1260,853.8190,0.001632
FILLER_219_1304,VSS,Metal1,647.7660,853.8190,0.001635
FILLER_219_1297,VSS,Metal1,644.4060,853.8190,0.001637
FILLER_219_1290,VSS,Metal1,641.0460,853.8190,0.001639
FILLER_219_1283,VSS,Metal1,637.6860,853.8190,0.001641
FILLER_219_1276,VSS,Metal1,634.3260,853.8190,0.001644
FILLER_219_1269,VSS,Metal1,630.9660,853.8190,0.001646
FILLER_219_1262,VSS,Metal1,627.6060,853.8190,0.001648
FILLER_219_1255,VSS,Metal1,624.2460,853.8190,0.001650
FILLER_219_1248,VSS,Metal1,620.8860,853.8190,0.001652
FILLER_219_1241,VSS,Metal1,617.5260,853.8190,0.001655
FILLER_219_1234,VSS,Metal1,614.1660,853.8190,0.001657
FILLER_219_1227,VSS,Metal1,610.8060,853.8190,0.001659
FILLER_219_1220,VSS,Metal1,607.4460,853.8190,0.001661
FILLER_219_1213,VSS,Metal1,604.0860,853.8190,0.001663
FILLER_219_1206,VSS,Metal1,600.7260,853.8190,0.001665
FILLER_219_1199,VSS,Metal1,597.3660,853.8190,0.001668
FILLER_219_1192,VSS,Metal1,594.0060,853.8190,0.001670
FILLER_219_1185,VSS,Metal1,590.6460,853.8190,0.001672
FILLER_219_1178,VSS,Metal1,587.2860,853.8190,0.001674
FILLER_219_1171,VSS,Metal1,583.9260,853.8190,0.001676
FILLER_219_1164,VSS,Metal1,580.5660,853.8190,0.001679
FILLER_219_1157,VSS,Metal1,577.2060,853.8190,0.001681
FILLER_219_1150,VSS,Metal1,573.8460,853.8190,0.001683
FILLER_219_1143,VSS,Metal1,570.4860,853.8190,0.001685
FILLER_219_1136,VSS,Metal1,567.1260,853.8190,0.001687
FILLER_219_1129,VSS,Metal1,563.7660,853.8190,0.001688
FILLER_219_1122,VSS,Metal1,560.4060,853.8190,0.001690
FILLER_219_1115,VSS,Metal1,557.0460,853.8190,0.001691
FILLER_219_1108,VSS,Metal1,553.6860,853.8190,0.001693
FILLER_219_1101,VSS,Metal1,550.3260,853.8190,0.001694
FILLER_219_1094,VSS,Metal1,546.9660,853.8190,0.001696
FILLER_219_1087,VSS,Metal1,543.6060,853.8190,0.001697
FILLER_219_1080,VSS,Metal1,540.2460,853.8190,0.001699
FILLER_219_1073,VSS,Metal1,536.8860,853.8190,0.001700
FILLER_219_1066,VSS,Metal1,533.5260,853.8190,0.001702
FILLER_219_1059,VSS,Metal1,530.1660,853.8190,0.001703
FILLER_219_1052,VSS,Metal1,526.8060,853.8190,0.001705
FILLER_219_1045,VSS,Metal1,523.4460,853.8190,0.001706
FILLER_219_1040,VSS,Metal1,519.6000,854.2800,0.001713
FILLER_219_1038,VSS,Metal1,518.8800,854.2800,0.001713
FILLER_219_1031,VSS,Metal1,516.7260,853.8190,0.001714
FILLER_219_1024,VSS,Metal1,513.3660,853.8190,0.001715
FILLER_219_1017,VSS,Metal1,510.0060,853.8190,0.001717
FILLER_219_1010,VSS,Metal1,506.6460,853.8190,0.001718
FILLER_219_1003,VSS,Metal1,503.2860,853.8190,0.001720
FILLER_219_996,VSS,Metal1,499.9260,853.8190,0.001721
FILLER_219_989,VSS,Metal1,496.5660,853.8190,0.001723
FILLER_219_982,VSS,Metal1,493.2060,853.8190,0.001724
FILLER_219_975,VSS,Metal1,489.8460,853.8190,0.001725
FILLER_219_967,VSS,Metal1,485.2680,853.9030,0.001727
FILLER_219_962,VSS,Metal1,482.1600,854.2800,0.001731
FILLER_219_960,VSS,Metal1,481.4400,854.2800,0.001731
FILLER_219_946,VSS,Metal1,474.4800,854.2800,0.001731
FILLER_219_942,VSS,Metal1,473.2680,853.9030,0.001731
FILLER_219_935,VSS,Metal1,470.6460,853.8190,0.001732
FILLER_219_928,VSS,Metal1,467.2860,853.8190,0.001732
FILLER_219_922,VSS,Metal1,463.2000,854.2800,0.001733
FILLER_219_915,VSS,Metal1,461.0460,853.8190,0.001733
FILLER_219_908,VSS,Metal1,456.4800,854.2800,0.001734
FILLER_219_904,VSS,Metal1,455.0280,853.9030,0.001735
FILLER_219_897,VSS,Metal1,452.4060,853.8190,0.001735
FILLER_219_891,VSS,Metal1,448.3200,854.2800,0.001736
FILLER_219_878,VSS,Metal1,442.5480,853.9030,0.001736
FILLER_219_871,VSS,Metal1,439.9260,853.8190,0.001736
FILLER_219_863,VSS,Metal1,434.8800,854.2800,0.001737
FILLER_219_858,VSS,Metal1,432.2400,854.2800,0.001738
FILLER_219_854,VSS,Metal1,431.0280,853.9030,0.001738
FILLER_219_847,VSS,Metal1,428.4060,853.8190,0.001738
FILLER_219_840,VSS,Metal1,425.0460,853.8190,0.001738
FILLER_219_833,VSS,Metal1,421.6860,853.8190,0.001739
FILLER_219_826,VSS,Metal1,418.3260,853.8190,0.001739
FILLER_219_817,VSS,Metal1,413.2680,853.9030,0.001739
FILLER_219_810,VSS,Metal1,410.6460,853.8190,0.001738
FILLER_219_803,VSS,Metal1,407.2860,853.8190,0.001738
FILLER_219_792,VSS,Metal1,402.0060,853.8190,0.001737
FILLER_219_785,VSS,Metal1,398.6460,853.8190,0.001737
FILLER_219_778,VSS,Metal1,395.2860,853.8190,0.001737
FILLER_219_771,VSS,Metal1,390.7200,854.2800,0.001736
FILLER_219_767,VSS,Metal1,389.2680,853.9030,0.001736
FILLER_219_760,VSS,Metal1,386.6460,853.8190,0.001736
FILLER_219_732,VSS,Metal1,371.7600,854.2800,0.001731
FILLER_219_730,VSS,Metal1,371.0400,854.2800,0.001731
FILLER_219_725,VSS,Metal1,368.4000,854.2800,0.001731
FILLER_219_723,VSS,Metal1,367.6800,854.2800,0.001727
FILLER_219_704,VSS,Metal1,359.7660,853.8190,0.001723
FILLER_219_693,VSS,Metal1,354.4860,853.8190,0.001720
FILLER_219_687,VSS,Metal1,350.1600,854.2800,0.001718
FILLER_219_683,VSS,Metal1,348.9480,853.9030,0.001717
FILLER_219_676,VSS,Metal1,346.3260,853.8190,0.001717
FILLER_219_665,VSS,Metal1,339.8400,854.2800,0.001713
FILLER_219_661,VSS,Metal1,338.3880,853.9030,0.001713
FILLER_219_654,VSS,Metal1,335.7660,853.8190,0.001712
FILLER_219_645,VSS,Metal1,330.0000,854.2800,0.001706
FILLER_219_597,VSS,Metal1,307.2000,854.2800,0.001688
FILLER_219_593,VSS,Metal1,305.7480,853.9030,0.001688
FILLER_219_583,VSS,Metal1,300.2400,854.2800,0.001681
FILLER_219_581,VSS,Metal1,299.5200,854.2800,0.001681
FILLER_219_574,VSS,Metal1,297.3660,853.8190,0.001681
FILLER_219_567,VSS,Metal1,294.0060,853.8190,0.001679
FILLER_219_560,VSS,Metal1,290.6460,853.8190,0.001678
FILLER_219_547,VSS,Metal1,283.6680,853.9030,0.001675
FILLER_219_540,VSS,Metal1,281.0460,853.8190,0.001673
FILLER_219_525,VSS,Metal1,272.4000,854.2800,0.001666
FILLER_219_521,VSS,Metal1,271.1880,853.9030,0.001666
FILLER_219_514,VSS,Metal1,268.5660,853.8190,0.001664
FILLER_219_507,VSS,Metal1,265.2060,853.8190,0.001663
FILLER_219_479,VSS,Metal1,251.7660,853.8190,0.001652
FILLER_219_472,VSS,Metal1,248.4060,853.8190,0.001649
FILLER_219_467,VSS,Metal1,244.5600,854.2800,0.001639
FILLER_219_465,VSS,Metal1,243.8400,854.2800,0.001639
FILLER_219_458,VSS,Metal1,241.6860,853.8190,0.001638
FILLER_219_451,VSS,Metal1,238.3260,853.8190,0.001635
FILLER_219_444,VSS,Metal1,234.9660,853.8190,0.001633
FILLER_219_437,VSS,Metal1,231.6060,853.8190,0.001630
FILLER_219_430,VSS,Metal1,228.2460,853.8190,0.001628
FILLER_219_418,VSS,Metal1,221.7480,853.9030,0.001616
FILLER_219_411,VSS,Metal1,219.1260,853.8190,0.001614
FILLER_219_404,VSS,Metal1,215.7660,853.8190,0.001612
FILLER_219_397,VSS,Metal1,212.4060,853.8190,0.001609
FILLER_219_389,VSS,Metal1,207.8280,853.9030,0.001603
FILLER_219_382,VSS,Metal1,205.2060,853.8190,0.001601
FILLER_219_375,VSS,Metal1,201.8460,853.8190,0.001598
FILLER_219_368,VSS,Metal1,198.4860,853.8190,0.001596
FILLER_219_361,VSS,Metal1,195.1260,853.8190,0.001594
FILLER_219_354,VSS,Metal1,191.7660,853.8190,0.001591
FILLER_219_347,VSS,Metal1,187.2000,854.2800,0.001581
FILLER_219_343,VSS,Metal1,185.7480,853.9030,0.001580
FILLER_219_336,VSS,Metal1,183.1260,853.8190,0.001578
FILLER_219_329,VSS,Metal1,179.7660,853.8190,0.001576
FILLER_219_325,VSS,Metal1,176.4000,854.2800,0.001567
FILLER_219_323,VSS,Metal1,175.6800,854.2800,0.001567
FILLER_219_316,VSS,Metal1,173.5260,853.8190,0.001565
FILLER_219_310,VSS,Metal1,169.4400,854.2800,0.001556
FILLER_219_297,VSS,Metal1,163.2000,854.2800,0.001550
FILLER_219_290,VSS,Metal1,161.0460,853.8190,0.001548
FILLER_219_283,VSS,Metal1,157.6860,853.8190,0.001546
FILLER_219_267,VSS,Metal1,150.0060,853.8190,0.001539
FILLER_219_260,VSS,Metal1,146.6460,853.8190,0.001537
FILLER_219_253,VSS,Metal1,143.2860,853.8190,0.001535
FILLER_219_246,VSS,Metal1,139.9260,853.8190,0.001532
FILLER_219_238,VSS,Metal1,135.3480,853.9030,0.001526
FILLER_219_231,VSS,Metal1,132.7260,853.8190,0.001524
FILLER_219_224,VSS,Metal1,128.1600,854.2800,0.001516
FILLER_219_217,VSS,Metal1,126.0060,853.8190,0.001515
FILLER_219_210,VSS,Metal1,122.6460,853.8190,0.001512
FILLER_219_203,VSS,Metal1,119.2860,853.8190,0.001510
FILLER_219_196,VSS,Metal1,115.9260,853.8190,0.001507
FILLER_219_189,VSS,Metal1,112.5660,853.8190,0.001506
FILLER_219_182,VSS,Metal1,109.2060,853.8190,0.001504
FILLER_219_175,VSS,Metal1,105.8460,853.8190,0.001502
FILLER_219_168,VSS,Metal1,102.4860,853.8190,0.001500
FILLER_219_161,VSS,Metal1,99.1260,853.8190,0.001498
FILLER_219_154,VSS,Metal1,95.7660,853.8190,0.001497
FILLER_219_147,VSS,Metal1,92.4060,853.8190,0.001495
FILLER_219_140,VSS,Metal1,89.0460,853.8190,0.001493
FILLER_219_133,VSS,Metal1,85.6860,853.8190,0.001491
FILLER_219_126,VSS,Metal1,82.3260,853.8190,0.001489
FILLER_219_119,VSS,Metal1,78.9660,853.8190,0.001487
FILLER_219_112,VSS,Metal1,75.6060,853.8190,0.001486
FILLER_219_105,VSS,Metal1,72.2460,853.8190,0.001484
FILLER_219_98,VSS,Metal1,68.8860,853.8190,0.001482
FILLER_219_91,VSS,Metal1,65.5260,853.8190,0.001480
FILLER_219_84,VSS,Metal1,62.1660,853.8190,0.001478
FILLER_219_77,VSS,Metal1,58.8060,853.8190,0.001477
FILLER_219_70,VSS,Metal1,55.4460,853.8190,0.001475
FILLER_219_63,VSS,Metal1,52.0860,853.8190,0.001473
FILLER_219_56,VSS,Metal1,48.7260,853.8190,0.001471
FILLER_219_49,VSS,Metal1,45.3660,853.8190,0.001469
FILLER_219_42,VSS,Metal1,42.0060,853.8190,0.001467
FILLER_219_35,VSS,Metal1,38.6460,853.8190,0.001466
FILLER_219_28,VSS,Metal1,35.2860,853.8190,0.001466
FILLER_219_21,VSS,Metal1,31.9260,853.8190,0.001466
FILLER_219_14,VSS,Metal1,28.5660,853.8190,0.001466
FILLER_219_7,VSS,Metal1,25.2060,853.8190,0.001466
FILLER_219_0,VSS,Metal1,21.8460,853.8190,0.001466
FILLER_218_1747,VSS,Metal1,859.2000,846.7200,0.001496
FILLER_218_1740,VSS,Metal1,857.0460,847.1800,0.001496
FILLER_218_1733,VSS,Metal1,853.6860,847.1800,0.001496
FILLER_218_1726,VSS,Metal1,850.3260,847.1800,0.001496
FILLER_218_1719,VSS,Metal1,846.9660,847.1800,0.001496
FILLER_218_1712,VSS,Metal1,843.6060,847.1800,0.001496
FILLER_218_1705,VSS,Metal1,840.2460,847.1800,0.001496
FILLER_218_1698,VSS,Metal1,836.8860,847.1800,0.001496
FILLER_218_1691,VSS,Metal1,833.5260,847.1800,0.001496
FILLER_218_1684,VSS,Metal1,830.1660,847.1800,0.001496
FILLER_218_1677,VSS,Metal1,826.8060,847.1800,0.001496
FILLER_218_1670,VSS,Metal1,823.4460,847.1800,0.001496
FILLER_218_1663,VSS,Metal1,820.0860,847.1800,0.001496
FILLER_218_1656,VSS,Metal1,816.7260,847.1800,0.001496
FILLER_218_1649,VSS,Metal1,813.3660,847.1800,0.001496
FILLER_218_1642,VSS,Metal1,810.0060,847.1800,0.001496
FILLER_218_1635,VSS,Metal1,806.6460,847.1800,0.001496
FILLER_218_1628,VSS,Metal1,803.2860,847.1800,0.001496
FILLER_218_1621,VSS,Metal1,799.9260,847.1800,0.001496
FILLER_218_1614,VSS,Metal1,796.5660,847.1800,0.001495
FILLER_218_1607,VSS,Metal1,793.2060,847.1800,0.001499
FILLER_218_1600,VSS,Metal1,789.8460,847.1800,0.001502
FILLER_218_1593,VSS,Metal1,786.4860,847.1800,0.001505
FILLER_218_1586,VSS,Metal1,783.1260,847.1800,0.001508
FILLER_218_1579,VSS,Metal1,779.7660,847.1800,0.001511
FILLER_218_1572,VSS,Metal1,776.4060,847.1800,0.001515
FILLER_218_1565,VSS,Metal1,773.0460,847.1800,0.001518
FILLER_218_1558,VSS,Metal1,769.6860,847.1800,0.001521
FILLER_218_1551,VSS,Metal1,766.3260,847.1800,0.001524
FILLER_218_1544,VSS,Metal1,762.9660,847.1800,0.001527
FILLER_218_1537,VSS,Metal1,759.6060,847.1800,0.001531
FILLER_218_1530,VSS,Metal1,756.2460,847.1800,0.001534
FILLER_218_1523,VSS,Metal1,752.8860,847.1800,0.001537
FILLER_218_1516,VSS,Metal1,749.5260,847.1800,0.001540
FILLER_218_1509,VSS,Metal1,746.1660,847.1800,0.001543
FILLER_218_1502,VSS,Metal1,742.8060,847.1800,0.001547
FILLER_218_1495,VSS,Metal1,739.4460,847.1800,0.001550
FILLER_218_1488,VSS,Metal1,736.0860,847.1800,0.001553
FILLER_218_1481,VSS,Metal1,732.7260,847.1800,0.001556
FILLER_218_1474,VSS,Metal1,729.3660,847.1800,0.001559
FILLER_218_1467,VSS,Metal1,726.0060,847.1800,0.001562
FILLER_218_1460,VSS,Metal1,722.6460,847.1800,0.001566
FILLER_218_1453,VSS,Metal1,719.2860,847.1800,0.001569
FILLER_218_1446,VSS,Metal1,715.9260,847.1800,0.001573
FILLER_218_1439,VSS,Metal1,712.5660,847.1800,0.001577
FILLER_218_1432,VSS,Metal1,709.2060,847.1800,0.001582
FILLER_218_1425,VSS,Metal1,705.8460,847.1800,0.001586
FILLER_218_1418,VSS,Metal1,702.4860,847.1800,0.001590
FILLER_218_1411,VSS,Metal1,699.1260,847.1800,0.001594
FILLER_218_1404,VSS,Metal1,695.7660,847.1800,0.001599
FILLER_218_1397,VSS,Metal1,692.4060,847.1800,0.001603
FILLER_218_1390,VSS,Metal1,689.0460,847.1800,0.001607
FILLER_218_1383,VSS,Metal1,685.6860,847.1800,0.001611
FILLER_218_1376,VSS,Metal1,682.3260,847.1800,0.001616
FILLER_218_1369,VSS,Metal1,678.9660,847.1800,0.001620
FILLER_218_1362,VSS,Metal1,675.6060,847.1800,0.001624
FILLER_218_1355,VSS,Metal1,672.2460,847.1800,0.001628
FILLER_218_1348,VSS,Metal1,668.8860,847.1800,0.001633
FILLER_218_1341,VSS,Metal1,665.5260,847.1800,0.001637
FILLER_218_1334,VSS,Metal1,662.1660,847.1800,0.001641
FILLER_218_1327,VSS,Metal1,658.8060,847.1800,0.001645
FILLER_218_1320,VSS,Metal1,655.4460,847.1800,0.001650
FILLER_218_1313,VSS,Metal1,652.0860,847.1800,0.001654
FILLER_218_1306,VSS,Metal1,648.7260,847.1800,0.001658
FILLER_218_1299,VSS,Metal1,645.3660,847.1800,0.001662
FILLER_218_1292,VSS,Metal1,642.0060,847.1800,0.001667
FILLER_218_1285,VSS,Metal1,638.6460,847.1800,0.001673
FILLER_218_1278,VSS,Metal1,635.2860,847.1800,0.001678
FILLER_218_1271,VSS,Metal1,631.9260,847.1800,0.001683
FILLER_218_1264,VSS,Metal1,628.5660,847.1800,0.001688
FILLER_218_1257,VSS,Metal1,625.2060,847.1800,0.001693
FILLER_218_1250,VSS,Metal1,621.8460,847.1800,0.001698
FILLER_218_1243,VSS,Metal1,618.4860,847.1800,0.001703
FILLER_218_1236,VSS,Metal1,615.1260,847.1800,0.001708
FILLER_218_1229,VSS,Metal1,611.7660,847.1800,0.001713
FILLER_218_1222,VSS,Metal1,608.4060,847.1800,0.001718
FILLER_218_1215,VSS,Metal1,605.0460,847.1800,0.001723
FILLER_218_1208,VSS,Metal1,601.6860,847.1800,0.001728
FILLER_218_1201,VSS,Metal1,598.3260,847.1800,0.001733
FILLER_218_1194,VSS,Metal1,594.9660,847.1800,0.001738
FILLER_218_1187,VSS,Metal1,591.6060,847.1800,0.001743
FILLER_218_1180,VSS,Metal1,588.2460,847.1800,0.001748
FILLER_218_1173,VSS,Metal1,584.8860,847.1800,0.001753
FILLER_218_1166,VSS,Metal1,581.5260,847.1800,0.001758
FILLER_218_1159,VSS,Metal1,578.1660,847.1800,0.001763
FILLER_218_1152,VSS,Metal1,574.8060,847.1800,0.001768
FILLER_218_1145,VSS,Metal1,571.4460,847.1800,0.001768
FILLER_218_1138,VSS,Metal1,568.0860,847.1800,0.001768
FILLER_218_1131,VSS,Metal1,564.7260,847.1800,0.001768
FILLER_218_1124,VSS,Metal1,561.3660,847.1800,0.001770
FILLER_218_1117,VSS,Metal1,558.0060,847.1800,0.001772
FILLER_218_1110,VSS,Metal1,554.6460,847.1800,0.001772
FILLER_218_1103,VSS,Metal1,551.2860,847.1800,0.001772
FILLER_218_1096,VSS,Metal1,547.9260,847.1800,0.001774
FILLER_218_1089,VSS,Metal1,544.5660,847.1800,0.001775
FILLER_218_1082,VSS,Metal1,541.2060,847.1800,0.001775
FILLER_218_1071,VSS,Metal1,535.9260,847.1800,0.001775
FILLER_218_1064,VSS,Metal1,532.5660,847.1800,0.001779
FILLER_218_1034,VSS,Metal1,516.9600,846.7200,0.001780
FILLER_218_1022,VSS,Metal1,511.2000,846.7200,0.001784
FILLER_218_1018,VSS,Metal1,509.7480,847.0960,0.001784
FILLER_218_989,VSS,Metal1,495.3600,846.7200,0.001786
FILLER_218_985,VSS,Metal1,493.9080,847.0960,0.001786
FILLER_218_957,VSS,Metal1,479.7600,846.7200,0.001790
FILLER_218_950,VSS,Metal1,477.8460,847.1800,0.001790
FILLER_218_918,VSS,Metal1,461.0400,846.7200,0.001790
FILLER_218_916,VSS,Metal1,460.3200,846.7200,0.001790
FILLER_218_896,VSS,Metal1,450.4800,846.7200,0.001790
FILLER_218_894,VSS,Metal1,449.7600,846.7200,0.001791
FILLER_218_883,VSS,Metal1,444.2400,846.7200,0.001791
FILLER_218_881,VSS,Metal1,443.5200,846.7200,0.001791
FILLER_218_847,VSS,Metal1,428.4060,847.1800,0.001790
FILLER_218_840,VSS,Metal1,425.0460,847.1800,0.001788
FILLER_218_833,VSS,Metal1,421.6860,847.1800,0.001788
FILLER_218_676,VSS,Metal1,344.8800,846.7200,0.001771
FILLER_218_621,VSS,Metal1,319.9260,847.1800,0.001753
FILLER_218_569,VSS,Metal1,293.5200,846.7200,0.001729
FILLER_218_567,VSS,Metal1,292.8000,846.7200,0.001729
FILLER_218_525,VSS,Metal1,272.6400,846.7200,0.001720
FILLER_218_521,VSS,Metal1,271.1880,847.0960,0.001719
FILLER_218_491,VSS,Metal1,256.3200,846.7200,0.001713
FILLER_218_462,VSS,Metal1,242.1600,846.7200,0.001709
FILLER_218_460,VSS,Metal1,241.4400,846.7200,0.001709
FILLER_218_453,VSS,Metal1,239.2860,847.1800,0.001709
FILLER_218_446,VSS,Metal1,235.9260,847.1800,0.001707
FILLER_218_416,VSS,Metal1,220.3200,846.7200,0.001702
FILLER_218_379,VSS,Metal1,202.3200,846.7200,0.001694
FILLER_218_372,VSS,Metal1,200.4060,847.1800,0.001694
FILLER_218_365,VSS,Metal1,197.0460,847.1800,0.001693
FILLER_218_316,VSS,Metal1,172.0800,846.7200,0.001614
FILLER_218_289,VSS,Metal1,159.8280,847.0960,0.001599
FILLER_218_264,VSS,Metal1,147.3600,846.7200,0.001585
FILLER_218_258,VSS,Metal1,144.2400,846.7200,0.001575
FILLER_218_256,VSS,Metal1,143.5200,846.7200,0.001573
FILLER_218_238,VSS,Metal1,134.8800,846.7200,0.001563
FILLER_218_228,VSS,Metal1,130.0800,846.7200,0.001556
FILLER_218_210,VSS,Metal1,121.9080,847.0960,0.001552
FILLER_218_203,VSS,Metal1,119.2860,847.1800,0.001541
FILLER_218_196,VSS,Metal1,115.9260,847.1800,0.001539
FILLER_218_189,VSS,Metal1,112.5660,847.1800,0.001538
FILLER_218_182,VSS,Metal1,109.2060,847.1800,0.001536
FILLER_218_175,VSS,Metal1,105.8460,847.1800,0.001535
FILLER_218_168,VSS,Metal1,102.4860,847.1800,0.001534
FILLER_218_161,VSS,Metal1,99.1260,847.1800,0.001533
FILLER_218_154,VSS,Metal1,95.7660,847.1800,0.001531
FILLER_218_147,VSS,Metal1,92.4060,847.1800,0.001530
FILLER_218_140,VSS,Metal1,89.0460,847.1800,0.001529
FILLER_218_133,VSS,Metal1,85.6860,847.1800,0.001527
FILLER_218_126,VSS,Metal1,82.3260,847.1800,0.001526
FILLER_218_119,VSS,Metal1,78.9660,847.1800,0.001525
FILLER_218_112,VSS,Metal1,75.6060,847.1800,0.001524
FILLER_218_105,VSS,Metal1,72.2460,847.1800,0.001522
FILLER_218_98,VSS,Metal1,68.8860,847.1800,0.001521
FILLER_218_91,VSS,Metal1,65.5260,847.1800,0.001520
FILLER_218_84,VSS,Metal1,62.1660,847.1800,0.001519
FILLER_218_77,VSS,Metal1,58.8060,847.1800,0.001517
FILLER_218_70,VSS,Metal1,55.4460,847.1800,0.001516
FILLER_218_63,VSS,Metal1,52.0860,847.1800,0.001515
FILLER_218_56,VSS,Metal1,48.7260,847.1800,0.001514
FILLER_218_49,VSS,Metal1,45.3660,847.1800,0.001512
FILLER_218_42,VSS,Metal1,42.0060,847.1800,0.001511
FILLER_218_35,VSS,Metal1,38.6460,847.1800,0.001510
FILLER_218_28,VSS,Metal1,35.2860,847.1800,0.001510
FILLER_218_21,VSS,Metal1,31.9260,847.1800,0.001510
FILLER_218_14,VSS,Metal1,28.5660,847.1800,0.001510
FILLER_218_7,VSS,Metal1,25.2060,847.1800,0.001510
FILLER_218_0,VSS,Metal1,21.8460,847.1800,0.001510
FILLER_217_1748,VSS,Metal1,859.4400,846.7200,0.001496
FILLER_217_1746,VSS,Metal1,858.7200,846.7200,0.001496
FILLER_217_1739,VSS,Metal1,856.5660,846.2590,0.001496
FILLER_217_1732,VSS,Metal1,853.2060,846.2590,0.001496
FILLER_217_1725,VSS,Metal1,849.8460,846.2590,0.001496
